Logger:         	MadelineProto
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 2 left
Session:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session:        	Garbage collected 5 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 5.0
Session:        	Garbage collected 0 outgoing messages in DC 5, 1 left
PingLoop:       	Ping DC 4.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 1 outgoing messages in DC 2, 1 left
Session:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 3.0
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 4 outgoing messages in DC 2, 2 left
Session:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PeerHandler:    	Only have min peer for 5153325558 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5153325558, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1509608911
FeedLoop:       	MSGID duplicate (2037806) in update feed loop channel 1509608911
FeedLoop:       	Resumed update feed loop channel 1509608911
Session:        	Garbage collected 6 incoming messages in DC 2, 0 left
Session:        	Garbage collected 4 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 1.0
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 2 left
Session:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session:        	Garbage collected 5 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
MTProto:        	Accepted IPC client connection!
UpdateHandler:  	Parsing updates (updates) received via the socket...
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 4 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
PingLoop:       	Ping DC 5.0
PingLoop:       	Ping DC 4.0
Session:        	Garbage collected 0 outgoing messages in DC 4, 1 left
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
PingLoop:       	Ping DC 3.0
Session:        	Garbage collected 0 outgoing messages in DC 3, 1 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 2 left
Session:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1509608911
Session:        	Garbage collected 3 incoming messages in DC 2, 0 left
FeedLoop:       	Resumed update feed loop channel 1509608911
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 1.0
Session:        	Garbage collected 0 outgoing messages in DC 1, 1 left
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 2 left
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 11 incoming messages in DC 2, 0 left
Session:        	Garbage collected 5 outgoing messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop channel 1518262151
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop channel 1518262151
FeedLoop:       	Got channel too long update, getting difference...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 13 incoming messages in DC 2, 0 left
Session:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PeerHandler:    	Only have min peer for 5153325558 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5153325558, this may fail
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1509608911
Session:        	Garbage collected 3 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PeerHandler:    	Only have min peer for 5153325558 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5153325558, this may fail
FeedLoop:       	Resumed update feed loop channel 1509608911
Session:        	Garbage collected 10 incoming messages in DC 2, 0 left
Session:        	Garbage collected 9 outgoing messages in DC 2, 0 left
MTProto:        	Accepted IPC client connection!
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 1 left
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop channel 1518262151
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1518262151
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 0 left
PeerHandler:    	Only have min peer for 5153325558 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5153325558, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1509608911
FeedLoop:       	MSGID duplicate (2037809) in update feed loop channel 1509608911
FeedLoop:       	Resumed update feed loop channel 1518262151
FeedLoop:       	Got channel too long update, getting difference...
FeedLoop:       	Resumed update feed loop channel 1509608911
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 15 incoming messages in DC 2, 0 left
Session:        	Garbage collected 8 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 4.0
Session:        	Garbage collected 0 outgoing messages in DC 4, 1 left
PingLoop:       	Ping DC 2.0
PingLoop:       	Ping DC 5.0
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session:        	Garbage collected 0 outgoing messages in DC 5, 1 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
PingLoop:       	Ping DC 3.0
Session:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 4 outgoing messages in DC 2, 3 left
Session:        	Garbage collected 3 incoming messages in DC 2, 0 left
Session:        	Garbage collected 3 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 2 left
PeerHandler:    	Only have min peer for 5153325558 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5153325558, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1509608911
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1509608911
FeedLoop:       	Resumed update feed loop channel 1509608911
FeedLoop:       	MSGID duplicate (2037810) in update feed loop channel 1509608911
FeedLoop:       	MSGID duplicate (2037811) in update feed loop channel 1509608911
Session:        	Garbage collected 14 incoming messages in DC 2, 0 left
Session:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 1.0
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1509608911
FeedLoop:       	MSGID duplicate (2037812) in update feed loop channel 1509608911
PeerHandler:    	Only have min peer for 5153325558 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5153325558, this may fail
FeedLoop:       	Resumed update feed loop channel 1509608911
Session:        	Garbage collected 11 incoming messages in DC 2, 0 left
Session:        	Garbage collected 8 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PeerHandler:    	Only have min peer for 5576136520 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5576136520, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 9 incoming messages in DC 2, 0 left
Session:        	Garbage collected 7 outgoing messages in DC 2, 0 left
PeerHandler:    	Only have min peer for 5153325558 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5153325558, this may fail
PeerHandler:    	Only have min peer for 5251642362 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5251642362, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1509608911
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	MSGID duplicate (2037813) in update feed loop channel 1509608911
FeedLoop:       	Resumed update feed loop channel 1509608911
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 13 incoming messages in DC 2, 0 left
Session:        	Garbage collected 7 outgoing messages in DC 2, 2 left
Session:        	Garbage collected 4 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 4.0
PingLoop:       	Ping DC 2.0
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session:        	Garbage collected 3 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 5.0
Session:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
PingLoop:       	Ping DC 3.0
Session:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 5 left
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session:        	Garbage collected 5 outgoing messages in DC 2, 0 left
PeerHandler:    	Only have min peer for 5512151178 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5512151178, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 11 incoming messages in DC 2, 0 left
Session:        	Garbage collected 7 outgoing messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop channel 1518262151
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1518262151
Session:        	Garbage collected 2 incoming messages in DC 2, 0 left
PingLoop:       	Ping DC 1.0
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
FeedLoop:       	Resumed update feed loop channel 1518262151
FeedLoop:       	Got channel too long update, getting difference...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 8 incoming messages in DC 2, 0 left
Session:        	Garbage collected 9 outgoing messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop channel 1518262151
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop channel 1518262151
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
PeerHandler:    	Only have min peer for 5576136520 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5576136520, this may fail
FeedLoop:       	Resumed update feed loop channel 1518262151
FeedLoop:       	Got channel too long update, getting difference...
FeedLoop:       	Resumed update feed loop channel 1509608911
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	MSGID duplicate (2037814) in update feed loop channel 1509608911
FeedLoop:       	Resumed update feed loop channel 1509608911
Session:        	Garbage collected 11 incoming messages in DC 2, 0 left
Session:        	Garbage collected 8 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 2, 5 left
SessionPaths:   	Waiting for exclusive lock of /home/andrei/apache_server/coloring/public/my_mad_sessions/+79154325256/session.madeline.safe.php.lock...
SessionPaths:   	Got exclusive lock of /home/andrei/apache_server/coloring/public/my_mad_sessions/+79154325256/session.madeline.safe.php.lock...
SessionPaths:   	Waiting for exclusive lock of /home/andrei/apache_server/coloring/public/my_mad_sessions/+79154325256/session.madeline.lightState.php.lock...
SessionPaths:   	Got exclusive lock of /home/andrei/apache_server/coloring/public/my_mad_sessions/+79154325256/session.madeline.lightState.php.lock...
APIWrapper:     	Saved session!
Session:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session:        	Garbage collected 5 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 4.0
PingLoop:       	Ping DC 2.0
Session:        	Garbage collected 1 incoming messages in DC 4, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 4, 0 left
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 5.0
Session:        	Garbage collected 0 outgoing messages in DC 5, 1 left
Session:        	Garbage collected 1 incoming messages in DC 5, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 5, 0 left
PingLoop:       	Ping DC 3.0
Session:        	Garbage collected 0 outgoing messages in DC 3, 1 left
Session:        	Garbage collected 1 incoming messages in DC 3, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 3, 0 left
Session:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updateShort) received via the socket...
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 1 incoming messages in DC 2, 0 left
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 10 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
PingLoop:       	Ping DC 1.0
Session:        	Garbage collected 1 incoming messages in DC 1, 0 left
Session:        	Garbage collected 1 outgoing messages in DC 1, 0 left
PeerHandler:    	Only have min peer for 5512151178 in database, trying to fetch full info
MinDatabase:    	Don't have origin info with min peer 5512151178, this may fail
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
UpdateHandler:  	Parsing updates (updates) received via the socket...
SeqLoop:        	Was fed updates of type updates...
FeedLoop:       	Resumed update feed loop generic
FeedLoop:       	Resumed update feed loop generic
Session:        	Garbage collected 13 incoming messages in DC 2, 0 left
Session:        	Garbage collected 7 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session:        	Garbage collected 6 outgoing messages in DC 2, 0 left
Session:        	Garbage collected 2 outgoing messages in DC 2, 5 left
Session:        	Garbage collected 7 incoming messages in DC 2, 0 left
Session:        	Garbage collected 5 outgoing messages in DC 2, 0 left
